"id_OC"	"idSucursal"	"idProveedor"	"TipoDocumento"	"OrdenCompra"	"tipoCompra"	"idHES"	"HES"	"idDetRecpcion"	"posicionCompra"	"cantidad"	"costoUnitario"	"Subtotal"
"3165"	"1"	"100011"	"WE"	"COM-BDG-003165"	"1"	"3126"	"HES-BDG-003126"	"9102"	"13112"	"600"	"272.5"	"163500"
"3165"	"1"	"100011"	"WE"	"COM-BDG-003165"	"1"	"3127"	"HES-BDG-003127"	"9103"	"13112"	"800"	"272.5"	"218000"
"3165"	"1"	"100011"	"WE"	"COM-BDG-003165"	"1"	"3128"	"HES-BDG-003128"	"9104"	"13112"	"1000"	"272.5"	"272500"
"3163"	"1"	"100011"	"WE"	"COM-BDG-003163"	"1"	"3124"	"HES-BDG-003124"	"9100"	"13109"	"1200"	"272.5"	"327000"
"3163"	"1"	"100011"	"WE"	"COM-BDG-003163"	"1"	"3125"	"HES-BDG-003125"	"9101"	"13109"	"1200"	"272.5"	"327000"
"3162"	"1"	"100011"	"WE"	"COM-BDG-003162"	"1"	"3123"	"HES-BDG-003123"	"9099"	"13108"	"2400"	"250"	"600000"
"3160"	"1"	"100029"	"WE"	"COM-BDG-003160"	"1"	"3121"	"HES-BDG-003121"	"9097"	"13105"	"150"	"407.968"	"61195.2"
"3160"	"1"	"100029"	"WE"	"COM-BDG-003160"	"1"	"3122"	"HES-BDG-003122"	"9098"	"13105"	"50"	"407.968"	"20398.4"
"3159"	"1"	"100047"	"WE"	"COM-BDG-003159"	"1"	"3120"	"HES-CNT-003120"	"9083"	"13085"	"24"	"1188.02"	"28512.48"
"3159"	"1"	"100047"	"WE"	"COM-BDG-003159"	"1"	"3120"	"HES-CNT-003120"	"9084"	"13086"	"20"	"226.18"	"4523.6"
"3159"	"1"	"100047"	"WE"	"COM-BDG-003159"	"1"	"3120"	"HES-CNT-003120"	"9085"	"13087"	"60"	"638.55"	"38313"
"3159"	"1"	"100047"	"WE"	"COM-BDG-003159"	"1"	"3120"	"HES-CNT-003120"	"9086"	"13088"	"200"	"321.93"	"64386"
"3159"	"1"	"100047"	"WE"	"COM-BDG-003159"	"1"	"3120"	"HES-CNT-003120"	"9087"	"13090"	"36"	"846.9"	"30488.4"
"3159"	"1"	"100047"	"WE"	"COM-BDG-003159"	"1"	"3120"	"HES-CNT-003120"	"9088"	"13091"	"24"	"1119.13"	"26859.12"
"3159"	"1"	"100047"	"WE"	"COM-BDG-003159"	"1"	"3120"	"HES-CNT-003120"	"9089"	"13092"	"60"	"215.14"	"12908.4"
"3159"	"1"	"100047"	"WE"	"COM-BDG-003159"	"1"	"3120"	"HES-CNT-003120"	"9090"	"13093"	"36"	"595.88"	"21451.68"
"3159"	"1"	"100047"	"WE"	"COM-BDG-003159"	"1"	"3120"	"HES-CNT-003120"	"9091"	"13095"	"96"	"132.42"	"12712.32"
"3159"	"1"	"100047"	"WE"	"COM-BDG-003159"	"1"	"3120"	"HES-CNT-003120"	"9092"	"13097"	"24"	"1567.97"	"37631.28"
"3159"	"1"	"100047"	"WE"	"COM-BDG-003159"	"1"	"3120"	"HES-CNT-003120"	"9093"	"13098"	"24"	"887.56"	"21301.44"
"3159"	"1"	"100047"	"WE"	"COM-BDG-003159"	"1"	"3120"	"HES-CNT-003120"	"9094"	"13099"	"48"	"443.31"	"21278.88"
"3159"	"1"	"100047"	"WE"	"COM-BDG-003159"	"1"	"3120"	"HES-CNT-003120"	"9095"	"13100"	"28"	"938.79"	"26286.12"
"3159"	"1"	"100047"	"WE"	"COM-BDG-003159"	"1"	"3120"	"HES-CNT-003120"	"9096"	"13101"	"12"	"579.03"	"6948.36"
"3158"	"1"	"100012"	"WE"	"COM-BDG-003158"	"1"	"3118"	"HES-BDG-003118"	"9068"	"13082"	"60"	"238.62"	"14317.2"
"3158"	"1"	"100012"	"WE"	"COM-BDG-003158"	"1"	"3118"	"HES-BDG-003118"	"9069"	"13083"	"120"	"168.78"	"20253.6"
"3157"	"1"	"100047"	"WE"	"COM-BDG-003157"	"1"	"3119"	"HES-BDG-003119"	"9070"	"13067"	"24"	"1188.02"	"28512.48"
